Application,GPU,CPU,Resolution,Runtime,AllowsTearing,ProcessID,SwapChainAddress,SyncInterval,PresentFlags,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,MsPCLatency,GPU0Clk(MHz),GPU0MemClk(MHz),GPU0Util(%),GPU0Temp(C),CPUClk(MHz),CPUUtil(%)
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,0.016721,16.721,16.721,0.334,16.721,16.721,32.938,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,0.033443,16.723,16.723,0.334,16.723,16.723,33.966,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,0.050412,16.969,16.969,0.339,16.969,16.969,33.155,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,0.066849,16.437,16.437,0.329,16.437,16.437,32.527,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,0.083537,16.688,16.688,0.334,16.688,16.688,33.121,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,0.100156,16.619,16.619,0.332,16.619,16.619,35.590,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,0.116688,16.532,16.532,0.331,16.532,16.532,33.657,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,0.133233,16.545,16.545,0.331,16.545,16.545,34.303,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,0.149555,16.322,16.322,0.326,16.322,16.322,33.564,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,0.166152,16.597,16.597,0.332,16.597,16.597,31.549,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,0.182780,16.629,16.629,0.333,16.629,16.629,31.695,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,0.199783,17.003,17.003,0.340,17.003,17.003,34.448,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,0.216309,16.526,16.526,0.331,16.526,16.526,33.389,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,0.233105,16.795,16.795,0.336,16.795,16.795,33.884,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,0.249435,16.330,16.330,0.327,16.330,16.330,31.474,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,0.266121,16.686,16.686,0.334,16.686,16.686,33.542,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,0.282695,16.574,16.574,0.331,16.574,16.574,32.263,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,0.299123,16.429,16.429,0.329,16.429,16.429,32.738,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,0.315939,16.815,16.815,0.336,16.815,16.815,34.743,1800,9500,45,62,4200,35
stutterscope-synthetic-demo,Synthetic GPU (not real hardware),Synthetic CPU (not real hardware),2560x1440,DXGI,0,4242,0x000001,0,0,Hardware: Independent Flip,0,0.332698,16.760,16.760,0.335,16.760,16.760,32.661,1800,9500,45,62,4200,35
