v1
0.8.0-synthetic
---------------------SYSTEM INFO---------------------
os,cpu,gpu,ram,kernel,driver,cpuscheduler
Synthetic Linux (stutterscope demo data),Synthetic CPU,Synthetic GPU,32 GB,6.9.0,1.0.0,schedutil
--------------------FRAME METRICS--------------------
fps,frametime,cpu_load,cpu_power,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,swap_used,process_rss,cpu_mhz,elapsed
59.81,16.721,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,16720672
59.80,16.723,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,33443193
58.93,16.969,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,50412020
60.84,16.437,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,66848615
59.92,16.688,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,83536616
60.17,16.619,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,100155981
60.49,16.532,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,116688123
60.44,16.545,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,133233344
61.27,16.322,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,149554872
60.25,16.597,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,166151759
60.14,16.629,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,182780280
58.81,17.003,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,199783406
60.51,16.526,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,216309433
59.54,16.795,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,233104810
61.24,16.330,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,249434829
59.93,16.686,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,266121114
60.34,16.574,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,282694696
60.87,16.429,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,299123314
59.47,16.815,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,315938586
59.67,16.760,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,332698435
59.74,16.739,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,349437752
59.80,16.722,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,366159799
60.23,16.604,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,382763633
60.24,16.601,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,399364793
59.47,16.815,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,416179623
60.59,16.505,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,432684162
60.25,16.596,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,449280560
59.83,16.713,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,465993658
60.15,16.625,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,482618287
60.07,16.648,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,499266676
60.01,16.664,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,515930619
61.33,16.305,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,532235331
59.73,16.741,35,56.0,45,58,64,1800,9500,6.2,147.5,9.4,0.0,640,4200,548976332
