Application,ProcessID,SwapChainAddress,Runtime,SyncInterval,PresentFlags,Dropped,TimeInSeconds,msInPresentAPI,msBetweenPresents,AllowsTearing,PresentMode,msUntilRenderComplete,msUntilDisplayed,msBetweenDisplayChange,msFlipDelay,msUntilRenderStart,msGPUActive,msGPUVideoActive,msSinceInput,QPCTime
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,0.016721,0.334,16.721,0,Hardware: Independent Flip,6.772,16.721,16.721,0.000,-1.672,7.524,0.000,0.000,0
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,0.033443,0.334,16.723,0,Hardware: Independent Flip,6.773,16.723,16.723,0.000,-1.672,7.525,0.000,0.000,10000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,0.050412,0.339,16.969,0,Hardware: Independent Flip,6.872,16.969,16.969,0.000,-1.697,7.636,0.000,0.000,20000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,0.066849,0.329,16.437,0,Hardware: Independent Flip,6.657,16.437,16.437,0.000,-1.644,7.396,0.000,0.000,30000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,0.083537,0.334,16.688,0,Hardware: Independent Flip,6.759,16.688,16.688,0.000,-1.669,7.510,0.000,0.000,40000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,0.100156,0.332,16.619,0,Hardware: Independent Flip,6.731,16.619,16.619,0.000,-1.662,7.479,0.000,0.000,50000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,0.116688,0.331,16.532,0,Hardware: Independent Flip,6.696,16.532,16.532,0.000,-1.653,7.439,0.000,0.000,60000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,0.133233,0.331,16.545,0,Hardware: Independent Flip,6.701,16.545,16.545,0.000,-1.655,7.445,0.000,0.000,70000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,0.149555,0.326,16.322,0,Hardware: Independent Flip,6.610,16.322,16.322,0.000,-1.632,7.345,0.000,0.000,80000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,0.166152,0.332,16.597,0,Hardware: Independent Flip,6.722,16.597,16.597,0.000,-1.660,7.469,0.000,0.000,90000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,0.182780,0.333,16.629,0,Hardware: Independent Flip,6.735,16.629,16.629,0.000,-1.663,7.483,0.000,0.000,100000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,0.199783,0.340,17.003,0,Hardware: Independent Flip,6.886,17.003,17.003,0.000,-1.700,7.651,0.000,0.000,110000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,0.216309,0.331,16.526,0,Hardware: Independent Flip,6.693,16.526,16.526,0.000,-1.653,7.437,0.000,0.000,120000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,0.233105,0.336,16.795,0,Hardware: Independent Flip,6.802,16.795,16.795,0.000,-1.680,7.558,0.000,0.000,130000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,0.249435,0.327,16.330,0,Hardware: Independent Flip,6.614,16.330,16.330,0.000,-1.633,7.349,0.000,0.000,140000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,0.266121,0.334,16.686,0,Hardware: Independent Flip,6.758,16.686,16.686,0.000,-1.669,7.509,0.000,0.000,150000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,0.282695,0.331,16.574,0,Hardware: Independent Flip,6.712,16.574,16.574,0.000,-1.657,7.458,0.000,0.000,160000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,0.299123,0.329,16.429,0,Hardware: Independent Flip,6.654,16.429,16.429,0.000,-1.643,7.393,0.000,0.000,170000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,0.315939,0.336,16.815,0,Hardware: Independent Flip,6.810,16.815,16.815,0.000,-1.682,7.567,0.000,0.000,180000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,0.332698,0.335,16.760,0,Hardware: Independent Flip,6.788,16.760,16.760,0.000,-1.676,7.542,0.000,0.000,190000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,0.349438,0.335,16.739,0,Hardware: Independent Flip,6.779,16.739,16.739,0.000,-1.674,7.533,0.000,0.000,200000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,0.366160,0.334,16.722,0,Hardware: Independent Flip,6.772,16.722,16.722,0.000,-1.672,7.525,0.000,0.000,210000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,0.382764,0.332,16.604,0,Hardware: Independent Flip,6.725,16.604,16.604,0.000,-1.660,7.472,0.000,0.000,220000
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,0.399365,0.332,16.601,0,Hardware: Independent Flip,6.723,16.601,16.601,0.000,-1.660,7.471,0.000,0.000,230000
