Application,ProcessID,SwapChainAddress,PresentRuntime,SyncInterval,PresentFlags,AllowsTearing,PresentMode,FrameType,CPUStartQPC,FrameTime,CPUBusy,CPUWait,GPULatency,GPUTime,GPUBusy,GPUWait,VideoBusy,DisplayLatency,DisplayedTime,AnimationError,AnimationTime,MsFlipDelay,AllInputToPhotonLatency,ClickToPhotonLatency,InstrumentedLatency
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,0,16.7207,5.8522,10.8684,0.7524,7.5243,7.5243,9.1964,0.0000,32.9376,16.7207,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,10000,16.7225,5.8529,10.8696,0.7525,7.5251,7.5251,9.1974,0.0000,33.9665,16.7225,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,20000,16.9688,5.9391,11.0297,0.7636,7.6360,7.6360,9.3329,0.0000,33.1552,16.9688,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,30000,16.4366,5.7528,10.6838,0.7396,7.3965,7.3965,9.0401,0.0000,32.5270,16.4366,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,40000,16.6880,5.8408,10.8472,0.7510,7.5096,7.5096,9.1784,0.0000,33.1207,16.6880,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,50000,16.6194,5.8168,10.8026,0.7479,7.4787,7.4787,9.1407,0.0000,35.5903,16.6194,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,60000,16.5321,5.7862,10.7459,0.7439,7.4395,7.4395,9.0927,0.0000,33.6570,16.5321,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,70000,16.5452,5.7908,10.7544,0.7445,7.4453,7.4453,9.0999,0.0000,34.3029,16.5452,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,80000,16.3215,5.7125,10.6090,0.7345,7.3447,7.3447,8.9768,0.0000,33.5637,16.3215,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,90000,16.5969,5.8089,10.7880,0.7469,7.4686,7.4686,9.1283,0.0000,31.5491,16.5969,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,100000,16.6285,5.8200,10.8085,0.7483,7.4828,7.4828,9.1457,0.0000,31.6946,16.6285,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,110000,17.0031,5.9511,11.0520,0.7651,7.6514,7.6514,9.3517,0.0000,34.4482,17.0031,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,120000,16.5260,5.7841,10.7419,0.7437,7.4367,7.4367,9.0893,0.0000,33.3893,16.5260,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,130000,16.7954,5.8784,10.9170,0.7558,7.5579,7.5579,9.2375,0.0000,33.8842,16.7954,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,140000,16.3300,5.7155,10.6145,0.7349,7.3485,7.3485,8.9815,0.0000,31.4739,16.3300,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,150000,16.6863,5.8402,10.8461,0.7509,7.5088,7.5088,9.1775,0.0000,33.5417,16.6863,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,160000,16.5736,5.8008,10.7728,0.7458,7.4581,7.4581,9.1155,0.0000,32.2632,16.5736,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,170000,16.4286,5.7500,10.6786,0.7393,7.3929,7.3929,9.0357,0.0000,32.7385,16.4286,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,180000,16.8153,5.8853,10.9299,0.7567,7.5669,7.5669,9.2484,0.0000,34.7429,16.8153,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,190000,16.7598,5.8659,10.8939,0.7542,7.5419,7.5419,9.2179,0.0000,32.6613,16.7598,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,200000,16.7393,5.8588,10.8806,0.7533,7.5327,7.5327,9.2066,0.0000,33.5028,16.7393,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,210000,16.7220,5.8527,10.8693,0.7525,7.5249,7.5249,9.1971,0.0000,33.3373,16.7220,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,220000,16.6038,5.8113,10.7925,0.7472,7.4717,7.4717,9.1321,0.0000,33.8863,16.6038,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,230000,16.6012,5.8104,10.7908,0.7471,7.4705,7.4705,9.1306,0.0000,33.8464,16.6012,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,240000,16.8148,5.8852,10.9296,0.7567,7.5667,7.5667,9.2482,0.0000,32.4843,16.8148,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,250000,16.5045,5.7766,10.7280,0.7427,7.4270,7.4270,9.0775,0.0000,31.5021,16.5045,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,260000,16.5964,5.8087,10.7877,0.7468,7.4684,7.4684,9.1280,0.0000,31.9407,16.5964,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,270000,16.7131,5.8496,10.8635,0.7521,7.5209,7.5209,9.1922,0.0000,33.2341,16.7131,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,280000,16.6246,5.8186,10.8060,0.7481,7.4811,7.4811,9.1435,0.0000,32.9192,16.6246,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,290000,16.6484,5.8269,10.8215,0.7492,7.4918,7.4918,9.1566,0.0000,34.2307,16.6484,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,300000,16.6639,5.8324,10.8316,0.7499,7.4988,7.4988,9.1652,0.0000,33.1507,16.6639,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,310000,16.3047,5.7066,10.5981,0.7337,7.3371,7.3371,8.9676,0.0000,32.8053,16.3047,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,320000,16.7410,5.8594,10.8817,0.7533,7.5335,7.5335,9.2076,0.0000,34.2385,16.7410,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,330000,16.6434,5.8252,10.8182,0.7490,7.4895,7.4895,9.1539,0.0000,32.2644,16.6434,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,340000,16.6275,5.8196,10.8079,0.7482,7.4824,7.4824,9.1451,0.0000,35.2908,16.6275,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,350000,16.5980,5.8093,10.7887,0.7469,7.4691,7.4691,9.1289,0.0000,32.4906,16.5980,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,360000,16.7461,5.8611,10.8849,0.7536,7.5357,7.5357,9.2103,0.0000,33.5678,16.7461,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,370000,16.7072,5.8475,10.8596,0.7518,7.5182,7.5182,9.1889,0.0000,34.1386,16.7072,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,380000,16.6113,5.8139,10.7973,0.7475,7.4751,7.4751,9.1362,0.0000,33.6984,16.6113,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,390000,16.5379,5.7883,10.7496,0.7442,7.4421,7.4421,9.0958,0.0000,33.0247,16.5379,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,400000,16.6049,5.8117,10.7932,0.7472,7.4722,7.4722,9.1327,0.0000,32.8101,16.6049,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,410000,16.5190,5.7817,10.7374,0.7434,7.4336,7.4336,9.0855,0.0000,32.4153,16.5190,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,420000,16.7068,5.8474,10.8594,0.7518,7.5180,7.5180,9.1887,0.0000,35.4225,16.7068,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,430000,16.8348,5.8922,10.9426,0.7576,7.5757,7.5757,9.2592,0.0000,33.9551,16.8348,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,440000,16.4433,5.7551,10.6881,0.7399,7.3995,7.3995,9.0438,0.0000,32.5654,16.4433,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,450000,16.6752,5.8363,10.8389,0.7504,7.5038,7.5038,9.1713,0.0000,31.5682,16.6752,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,460000,16.4968,5.7739,10.7229,0.7424,7.4236,7.4236,9.0732,0.0000,32.7957,16.4968,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,470000,16.8499,5.8975,10.9524,0.7582,7.5825,7.5825,9.2674,0.0000,32.5172,16.8499,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,480000,16.6188,5.8166,10.8022,0.7478,7.4785,7.4785,9.1403,0.0000,34.6626,16.6188,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,490000,16.7794,5.8728,10.9066,0.7551,7.5507,7.5507,9.2287,0.0000,34.1861,16.7794,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,500000,16.8253,5.8888,10.9364,0.7571,7.5714,7.5714,9.2539,0.0000,32.7610,16.8253,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,510000,16.5387,5.7885,10.7501,0.7442,7.4424,7.4424,9.0963,0.0000,32.5722,16.5387,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,520000,16.5602,5.7961,10.7641,0.7452,7.4521,7.4521,9.1081,0.0000,32.7534,16.5602,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,530000,16.7056,5.8470,10.8586,0.7518,7.5175,7.5175,9.1881,0.0000,32.5822,16.7056,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,540000,16.5424,5.7898,10.7526,0.7444,7.4441,7.4441,9.0983,0.0000,33.9351,16.5424,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,550000,16.5683,5.7989,10.7694,0.7456,7.4557,7.4557,9.1126,0.0000,31.4772,16.5683,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,560000,16.5475,5.7916,10.7558,0.7446,7.4464,7.4464,9.1011,0.0000,34.0478,16.5475,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,570000,16.5059,5.7771,10.7289,0.7428,7.4277,7.4277,9.0783,0.0000,33.0982,16.5059,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,580000,16.3671,5.7285,10.6386,0.7365,7.3652,7.3652,9.0019,0.0000,31.7303,16.3671,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,590000,16.6436,5.8253,10.8183,0.7490,7.4896,7.4896,9.1540,0.0000,32.7068,16.6436,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,600000,16.6135,5.8147,10.7988,0.7476,7.4761,7.4761,9.1374,0.0000,32.4544,16.6135,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,610000,16.5763,5.8017,10.7746,0.7459,7.4594,7.4594,9.1170,0.0000,34.0332,16.5763,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,620000,16.7636,5.8673,10.8963,0.7544,7.5436,7.5436,9.2200,0.0000,32.2917,16.7636,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,630000,16.7969,5.8789,10.9180,0.7559,7.5586,7.5586,9.2383,0.0000,32.3390,16.7969,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,640000,16.6991,5.8447,10.8544,0.7515,7.5146,7.5146,9.1845,0.0000,32.6503,16.6991,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,650000,16.7501,5.8625,10.8876,0.7538,7.5375,7.5375,9.2126,0.0000,33.0357,16.7501,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,660000,16.8346,5.8921,10.9425,0.7576,7.5756,7.5756,9.2591,0.0000,34.3667,16.8346,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,670000,16.7912,5.8769,10.9143,0.7556,7.5560,7.5560,9.2351,0.0000,34.5465,16.7912,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,680000,16.4974,5.7741,10.7233,0.7424,7.4238,7.4238,9.0736,0.0000,34.0463,16.4974,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,690000,16.7522,5.8633,10.8889,0.7538,7.5385,7.5385,9.2137,0.0000,33.0869,16.7522,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,700000,17.0222,5.9578,11.0644,0.7660,7.6600,7.6600,9.3622,0.0000,34.6746,17.0222,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,710000,16.8532,5.8986,10.9546,0.7584,7.5840,7.5840,9.2693,0.0000,33.0946,16.8532,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,720000,16.5916,5.8071,10.7845,0.7466,7.4662,7.4662,9.1254,0.0000,33.6357,16.5916,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,730000,16.8938,5.9128,10.9810,0.7602,7.6022,7.6022,9.2916,0.0000,33.2902,16.8938,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,740000,16.4710,5.7648,10.7061,0.7412,7.4119,7.4119,9.0590,0.0000,33.1518,16.4710,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,750000,16.4848,5.7697,10.7151,0.7418,7.4182,7.4182,9.0666,0.0000,32.6590,16.4848,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,760000,16.5613,5.7965,10.7649,0.7453,7.4526,7.4526,9.1087,0.0000,31.9350,16.5613,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,770000,16.8493,5.8972,10.9520,0.7582,7.5822,7.5822,9.2671,0.0000,33.5897,16.8493,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,780000,16.6698,5.8344,10.8354,0.7501,7.5014,7.5014,9.1684,0.0000,33.5011,16.6698,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,790000,16.5459,5.7911,10.7549,0.7446,7.4457,7.4457,9.1003,0.0000,31.0505,16.5459,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,800000,16.4076,5.7427,10.6650,0.7383,7.3834,7.3834,9.0242,0.0000,33.2382,16.4076,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,810000,16.7924,5.8774,10.9151,0.7557,7.5566,7.5566,9.2358,0.0000,33.5316,16.7924,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,820000,16.6843,5.8395,10.8448,0.7508,7.5079,7.5079,9.1764,0.0000,33.9653,16.6843,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,830000,16.9447,5.9307,11.0141,0.7625,7.6251,7.6251,9.3196,0.0000,34.1492,16.9447,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,840000,16.7491,5.8622,10.8869,0.7537,7.5371,7.5371,9.2120,0.0000,34.0458,16.7491,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,850000,16.6335,5.8217,10.8118,0.7485,7.4851,7.4851,9.1484,0.0000,33.3541,16.6335,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,860000,16.5165,5.7808,10.7357,0.7432,7.4324,7.4324,9.0841,0.0000,33.4604,16.5165,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,870000,16.9364,5.9277,11.0087,0.7621,7.6214,7.6214,9.3150,0.0000,33.9801,16.9364,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,880000,16.6689,5.8341,10.8348,0.7501,7.5010,7.5010,9.1679,0.0000,32.7203,16.6689,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,890000,16.8065,5.8823,10.9242,0.7563,7.5629,7.5629,9.2436,0.0000,33.9001,16.8065,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,900000,16.9068,5.9174,10.9894,0.7608,7.6081,7.6081,9.2987,0.0000,31.8320,16.9068,NA,NA,NA,NA,NA,NA
stutterscope-synthetic-demo.exe,4242,0x000001,DXGI,0,0,0,Hardware: Independent Flip,Application,910000,16.6239,5.8184,10.8055,0.7481,7.4807,7.4807,9.1431,0.0000,34.0850,16.6239,NA,NA,NA,NA,NA,NA
