frame_index,timestamp_seconds,frame_time_ms,fps
0,0.016721,16.721,59.81
1,0.033443,16.723,59.80
2,0.050412,16.969,58.93
3,0.066849,16.437,60.84
4,0.083537,16.688,59.92
5,0.100156,16.619,60.17
6,0.116688,16.532,60.49
7,0.133233,16.545,60.44
8,0.149555,16.322,61.27
9,0.166152,16.597,60.25
10,0.182780,16.629,60.14
11,0.199783,17.003,58.81
12,0.216309,16.526,60.51
13,0.233105,16.795,59.54
14,0.249435,16.330,61.24
15,0.266121,16.686,59.93
16,0.282695,16.574,60.34
17,0.299123,16.429,60.87
18,0.315939,16.815,59.47
19,0.332698,16.760,59.67
20,0.349438,16.739,59.74
21,0.366160,16.722,59.80
22,0.382764,16.604,60.23
23,0.399365,16.601,60.24
24,0.416180,16.815,59.47
25,0.432684,16.505,60.59
26,0.449281,16.596,60.25
27,0.465994,16.713,59.83
28,0.482618,16.625,60.15
29,0.499267,16.648,60.07
30,0.515931,16.664,60.01
31,0.532235,16.305,61.33
32,0.548976,16.741,59.73
33,0.565620,16.643,60.08
34,0.582247,16.628,60.14
35,0.598845,16.598,60.25
36,0.615591,16.746,59.72
37,0.632298,16.707,59.85
38,0.648910,16.611,60.20
39,0.665448,16.538,60.47
40,0.682053,16.605,60.22
41,0.698572,16.519,60.54
42,0.715278,16.707,59.86
43,0.732113,16.835,59.40
44,0.748556,16.443,60.82
45,0.765232,16.675,59.97
46,0.781728,16.497,60.62
47,0.798578,16.850,59.35
48,0.815197,16.619,60.17
49,0.831977,16.779,59.60
50,0.848802,16.825,59.43
51,0.865340,16.539,60.46
52,0.881901,16.560,60.39
53,0.898606,16.706,59.86
54,0.915149,16.542,60.45
55,0.931717,16.568,60.36
56,0.948264,16.547,60.43
57,0.964770,16.506,60.58
58,0.981137,16.367,61.10
59,0.997781,16.644,60.08
60,1.014395,16.613,60.19
61,1.030971,16.576,60.33
62,1.047735,16.764,59.65
63,1.064531,16.797,59.53
64,1.081231,16.699,59.88
65,1.097981,16.750,59.70
66,1.114815,16.835,59.40
67,1.131606,16.791,59.56
68,1.148104,16.497,60.62
69,1.164856,16.752,59.69
70,1.181878,17.022,58.75
71,1.198731,16.853,59.34
72,1.215323,16.592,60.27
73,1.232217,16.894,59.19
74,1.248688,16.471,60.71
75,1.265173,16.485,60.66
76,1.281734,16.561,60.38
77,1.298583,16.849,59.35
78,1.315253,16.670,59.99
79,1.331799,16.546,60.44
80,1.348207,16.408,60.95
81,1.364999,16.792,59.55
82,1.381683,16.684,59.94
83,1.398628,16.945,59.02
84,1.415377,16.749,59.70
85,1.432011,16.634,60.12
86,1.448527,16.516,60.55
87,1.465464,16.936,59.04
88,1.482132,16.669,59.99
89,1.498939,16.806,59.50
90,1.515846,16.907,59.15
91,1.532470,16.624,60.15
92,1.549053,16.583,60.30
93,1.565683,16.630,60.13
94,1.582183,16.500,60.61
95,1.598785,16.602,60.23
96,1.615281,16.496,60.62
97,1.632013,16.732,59.77
98,1.648564,16.551,60.42
99,1.665358,16.795,59.54
100,1.681877,16.518,60.54
101,1.698433,16.556,60.40
102,1.715246,16.813,59.48
103,1.732102,16.856,59.33
104,1.748686,16.584,60.30
105,1.765056,16.370,61.09
106,1.781649,16.593,60.27
107,1.798195,16.545,60.44
108,1.814769,16.574,60.33
109,1.831418,16.649,60.06
110,1.848605,17.187,58.18
111,1.865202,16.597,60.25
112,1.881815,16.613,60.19
113,1.898544,16.729,59.77
114,1.915250,16.706,59.86
115,1.931921,16.671,59.99
116,1.948489,16.568,60.36
117,1.965057,16.568,60.36
118,1.981446,16.389,61.02
119,1.998359,16.914,59.12
120,2.014994,16.635,60.11
121,2.032015,17.020,58.75
122,2.048479,16.465,60.74
123,2.065142,16.663,60.01
124,2.081861,16.718,59.81
125,2.098541,16.680,59.95
126,2.115585,17.044,58.67
127,2.132342,16.757,59.67
128,2.148824,16.482,60.67
129,2.165402,16.577,60.32
130,2.181900,16.498,60.61
131,2.198524,16.624,60.15
132,2.215322,16.798,59.53
133,2.231846,16.524,60.52
134,2.248592,16.746,59.72
135,2.265394,16.802,59.52
136,2.281889,16.495,60.62
